,security,DS_DSCODE_C,DS_IS_MAJOR,DS_IS_PRIMQT,DS_SECTYPE,DS_LAST_PRICE_DATE,DS_STATUS,DS_REGION,DS_COVERAGE,DS_QT_NAME,WS_SEC_6035,SYM_INST_ORGPERMID,Industry Group,Sector
615,@THAIR5,140676,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI RUNG UNION CAR,C764H7080,4295893284,INDUS,AUTO
616,@THAIR8,316666,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI REINSURANCE,C764B1840,4295893061,FINCIAL,INSUR
617,@THAIS11,31260D,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI STEEL CABLE,C764WD900,4295893417,INDUS,AUTO
618,@THAIS18,9168ZY,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI SOLAR ENERGY,C764H53I0,5035168405,RESOURC,ENERG
619,@THAIS3,540389,Y,1,Ordinary Share,2023-12-12 00:00:00,ACTIVE,THA,FULL COVERAGE,TSTE,C764A2680,4295892951,SERVICE,TRANS
620,@THAIS5,314008,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI STANLEY ELECTRIC,C764B1850,4295893037,INDUS,AUTO
621,@THAIT5,140579,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAITHEPAROS,C764H7130,4295893285,AGRO,FOOD
622,@THAIT8,777373,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI TEXTILE,C764H7120,4295893281,CONSUMP,FASHION
623,@THAIU18,2613UG,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,THAI UNION FEEDMILL,C764H13J0,5080181583,AGRO,AGRI
624,@THAIU2,140686,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI UNION GROUP,C76475490,4295892868,AGRO,FOOD
625,@THAIV13,2755YK,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,THAIVIVAT HOLDINGS,C764H1610,5085656853,FINCIAL,INSUR
626,@THAIV4,540374,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI VEGETABLE OIL,C764A2690,4295892972,AGRO,FOOD
627,@THAIW11,502884,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI WIRE PRODUCTS,C76496000,4295892936,INDUS,STEEL
628,@THAIW18,8656AX,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI WAH,C764H57Y0,5046712788,AGRO,FOOD
629,@THAIW6,777370,Y,1,Ordinary Share,2023-12-12 00:00:00,ACTIVE,THA,FULL COVERAGE,THAI WACOAL,C76458980,4295892820,CONSUMP,FASHION
630,@THAIY1,50931Q,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,STEEL,C764XUF00,4295893435,INDUS,STEEL
631,@THANA16,8731M5,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THANAPIRIYA,C764H57E0,5045945705,SERVICE,-
632,@THANA9,68520T,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THANASIRI GROUP,C764H58I0,5000016031,PROPCON,-
633,@THANT2,140731,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THANTAWAN INDUSTRY,C764H7180,4295893286,INDUS,PKG
634,@THANU3,756637,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THANULUX,C764CV140,4295893089,CONSUMP,FASHION
635,@THEKL1,2701AV,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,KLINIQUE MEDICAL CLINIC,C764H0ZX0,5055474429,SERVICE,-
636,@THEON2,2615JY,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ONE ENTERPRISE,C764H1320,5040790917,SERVICE,MEDIA
637,@THIEN5,8915EY,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,SABUY CONNEXT TECH,C764H54C0,5040056974,CONSUMP,HOME
638,@THITI3,27700R,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,THITIKORN,C7648Y300,4295892916,FINCIAL,FIN
639,@THONB2,9222PD,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,THONBURI HEALTHCARE GROUP,C764H59B0,5035507731,SERVICE,HELTH
640,@TIPCO5,530601,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TIPCO ASPHALT,C764B1880,4295893010,PROPCON,CONMAT
641,@TIRAT1,35915U,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TIRATHAI,C764I8B00,4295893317,RESOURC,-
642,@TISCO12,755706,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TISCO FINANCIAL GROUP,C764A0200,4295892939,FINCIAL,BANK
643,@TONGH9,314048,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TONG HUA HOLDING,C764H7210,4295893295,FINCIAL,FIN
644,@TORAY8,9458VL,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,TORAY TEXTILES,C764H10M0,5070762125,CONSUMP,FASHION
645,@TOYOT30,67608W,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TTCL,C764H58A0,4298520128,PROPCON,CONS
646,@TPBIP1,70255Z,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TPBI,C764H57F0,5045945561,INDUS,PKG
647,@TPCPO1,9069ND,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TPC POWER HOLDING,C764H55Y0,5038083107,RESOURC,-
648,@TPIPO2,540754,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TPI POLENE,C76425390,4295892707,RESOURC,ENERG
649,@TPIPO5,9055KY,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,TPI POLENE POWER,C764H59N0,5000033059,RESOURC,ENERG
650,@TQMCO1,9383WT,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,TQM ALPHA,C764H1ZH0,5059049380,FINCIAL,INSUR
651,@TQRPC1,2550GX,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,TQR,C764H12F0,5077893756,FINCIAL,-
652,@TRAFF9,255980,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ZALEKTA,C764LI000,4295893356,SERVICE,MEDIA
653,@TRCCO1,32586R,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TRC CONSTRUCTION,C764QJA00,4295893373,PROPCON,CONS
654,@TRINI27,26616X,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TRINITY WATTHANA,C764JP100,4295893343,FINCIAL,FIN
655,@TRIPL32,9141AT,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,TRIPLE I LOGISTICS,C764H0ZT0,5055456755,SERVICE,TRANS
656,@TROPI4,503265,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TROPICAL CANNING,C76475790,4295892889,AGRO,FOOD
657,@TRUEC13,2723VD,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,TRUE CORPORATION,C764H15U0,5083862495,TECH,ICT
658,@TSFLO1,87739E,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,T S FLOUR MILL,C764H5260,5000677031,AGRO,-
659,@TURNK3,2640FV,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,TURNKEY COMMUNICATION SERVICES,C764H13F0,5081128676,TECH,ICT
660,@TVDIR3,87515L,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TVD HOLDINGS,C764H50S0,5035152492,SERVICE,-
661,@TVTHU1,95070P,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TV THUNDER,C764H56R0,4296007367,SERVICE,-
662,@TWENT60,2693Z5,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,TWENTY-FOUR CON & SUPPLY,C764H14E0,5082523672,PROPCON,-
663,@TWZTH1,32339K,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TWZ,C764FEA00,4295893147,TECH,ICT
664,@TYCOO2,28164U,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,TYCOONS WORLDWIDE GROUP,C7647J400,4295892888,INDUS,STEEL
665,@UAWIT1,87090P,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,SKY TOWER,C764H52A0,4298034399,RESOURC,-
666,@UBISA2,50513K,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UBIS (ASIA),C764WNE00,4295893414,INDUS,-
667,@UBONB2,2606JU,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,UBON BIO ETHANOL,C764H1Z30,5015420718,RESOURC,ENERG
668,@UNIMI10,32375J,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UNIMIT ENGINEERING,C764NFA00,4295893391,INDUS,-
669,@UNION1059,75653Q,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,GIFT INFINITE,C764H50Q0,5000061742,INDUS,PETRO
670,@UNION1148,89680Q,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,UNION AUCTION,C764H52T0,4296537821,SERVICE,-
671,@UNION122,777379,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UNION PLASTIC,C764H7240,4295893320,INDUS,PETRO
672,@UNION138,502340,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,UNION MOSAIC,C764H7220,4295893316,PROPCON,CONMAT
